Word;translation;Example;Part of speech;Theme;;;;;;;;;;;;;;;;;;;;;
seat-belt;ремень безопасности;;noun;Транспорт;;;;;;;;;;;;;;;;;;;;;
etiquette;этикет;;noun;Этикет;;;;;;;;;;;;;;;;;;;;;
behaviour;поведение;;noun;Этикет;;;;;;;;;;;;;;;;;;;;;
politeness;вежливость;;noun;Этикет;;;;;;;;;;;;;;;;;;;;;
apology;извинение;;noun;Этикет;;;;;;;;;;;;;;;;;;;;;
forgiveness;прощение;;noun;Этикет;;;;;;;;;;;;;;;;;;;;;
attitude;отношение;;noun;Этикет;;;;;;;;;;;;;;;;;;;;;
sweets;сладости;;noun;Сладости;;;;;;;;;;;;;;;;;;;;;
chocolate;шоколад;;noun;Сладости;;;;;;;;;;;;;;;;;;;;;
biscuit;печенье;;noun;Сладости;;;;;;;;;;;;;;;;;;;;;
cake;торт /пирожное;;noun;Сладости;;;;;;;;;;;;;;;;;;;;;
pie;пирог;;noun;Сладости;;;;;;;;;;;;;;;;;;;;;
jam;варенье;;noun;Сладости;;;;;;;;;;;;;;;;;;;;;
sugar;caxap;;noun;Сладости;;;;;;;;;;;;;;;;;;;;;
honey;мёд ;;noun;Сладости;;;;;;;;;;;;;;;;;;;;;
butcher’s;мясной магазин;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
greengrocer’s;овощной магазин;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
dairy;молочный магазин;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
sausage;колбаса;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
cheese;сыр;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
fish;рыба;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
canned goods;консервы;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
butter;сливочное масло;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
vegetable oil;растительное масло;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
bread;хлеб;;noun;Продкты питания;;;;;;;;;;;;;;;;;;;;;
emotion;эмоция;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
feeling;чувство;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
pleasure;удовольствие;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
satisfaction;удовлетворение;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
happiness;счастье;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
joy;радость;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
sadness;печаль;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
excitement;возбуждение;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
suffering;страдание;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
sympathy;сочувствие;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
admiration;восхищение;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
respect;уважение;;noun;Эмоции;;;;;;;;;;;;;;;;;;;;;
language;язык;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
word;слово;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
foreign language;иностранный язык;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
mother tongue;родной язык;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
sentence;предложение;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
phrase/collocation;словосочетание;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
meaning;значение/смысл;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
pronunciation;произношение;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
stress/accent;ударение;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
spell;написать по буквам, чары, заклинание;;noun;Язык;;;;;;;;;;;;;;;;;;;;;
conversation;беседа;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
question;вопрос;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
answer;ответ;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
advice;совет;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
warning;предупреждение;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
request;просьба;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
demand;требование;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
promise;обещание;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
remark;замечание;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
help/assistance;помощь;;noun;Цель высказывания;;;;;;;;;;;;;;;;;;;;;
room;комната;;noun;Квартира;;;;;;;;;;;;;;;;;;;;;
entrance hall;прихожая;;noun;Квартира;;;;;;;;;;;;;;;;;;;;;
kitchen;кухня;;noun;Квартира;;;;;;;;;;;;;;;;;;;;;
bathroom;ванная;;noun;Квартира;;;;;;;;;;;;;;;;;;;;;
toilet;туалет;;noun;Квартира;;;;;;;;;;;;;;;;;;;;;
bedroom;спальня;;noun;Квартира;;;;;;;;;;;;;;;;;;;;;
address;адрес;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
house;дом;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
building;здание;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
street;улица;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
square;площадь;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
apartment/flat;квартира;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
floor;этаж;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
yard;двор;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
fence;забор  ;;noun;Жилье;;;;;;;;;;;;;;;;;;;;;
roof;крыша;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
wall;стена;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
floor;пол;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
ceiling;потолок;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
window;окно;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
corner;угол;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
staircase;лестница;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
landing;лестничная площадка;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
lift;лифт;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
door;дверь;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
bell;звонок;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
lock;замок;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
key;ключ;;noun;Устройство дома;;;;;;;;;;;;;;;;;;;;;
meals;пища, еда;;noun;Прием пищи;;;;;;;;;;;;;;;;;;;;;
breakfast;завтрак;;noun;Прием пищи;;;;;;;;;;;;;;;;;;;;;
lunch;второй завтрак /обед;;noun;Прием пищи;;;;;;;;;;;;;;;;;;;;;
dinner;обед;;noun;Прием пищи;;;;;;;;;;;;;;;;;;;;;
supper;ужин;;noun;Прием пищи;;;;;;;;;;;;;;;;;;;;;
appetite;аппетит ;;noun;Прием пищи;;;;;;;;;;;;;;;;;;;;;
furniture;мебель;;noun;Мебель;;;;;;;;;;;;;;;;;;;;;
table;стол;;noun;Мебель;;;;;;;;;;;;;;;;;;;;;
chair;стул;;noun;Мебель;;;;;;;;;;;;;;;;;;;;;
armchair;кресло;;noun;Мебель;;;;;;;;;;;;;;;;;;;;;
bed;кровать;;noun;Мебель;;;;;;;;;;;;;;;;;;;;;
sofa;диван;;noun;Мебель;;;;;;;;;;;;;;;;;;;;;
carpet;ковер;;noun;Мебель;;;;;;;;;;;;;;;;;;;;;
mirror;зеркало;;noun;Мебель;;;;;;;;;;;;;;;;;;;;;
drink;напиток;;noun;Напитки;;;;;;;;;;;;;;;;;;;;;
tea;чай;;noun;Напитки;;;;;;;;;;;;;;;;;;;;;
coffee;кофе;;noun;Напитки;;;;;;;;;;;;;;;;;;;;;
milk;молоко;;noun;Напитки;;;;;;;;;;;;;;;;;;;;;
juice;сок;;noun;Напитки;;;;;;;;;;;;;;;;;;;;;
wine;вино;;noun;Напитки;;;;;;;;;;;;;;;;;;;;;
family;семья;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
father;отец;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
mother;мать;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
child;ребенок;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
sister;сестра;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
brother;брат;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
husband;муж;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
wife;жена;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
son;сын;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
daughter;дочь;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
wedding;свадьба;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
divorce;развод;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
parents;родители;;noun;Семья;;;;;;;;;;;;;;;;;;;;;
relatives;родные;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
grandfather;дедушка;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
grandmother;бабушка;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
uncle;дядя;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
aunt;тетя;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
nephew;племянник;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
niece;племянница;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
cousin;двоюродный брат /сестра;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
grandson;внук;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
granddaughter;внучка;;noun;Родственники;;;;;;;;;;;;;;;;;;;;;
relations;отношение, связь;;noun;Связи	;;;;;;;;;;;;;;;;;;;;;
friend;друг;;noun;Связи	;;;;;;;;;;;;;;;;;;;;;
colleague;коллега;;noun;Связи	;;;;;;;;;;;;;;;;;;;;;
employer;работодатель;;noun;Связи	;;;;;;;;;;;;;;;;;;;;;
employee;наемный работник;;noun;Связи	;;;;;;;;;;;;;;;;;;;;;
acquaintance;знакомство ;;noun;Связи	;;;;;;;;;;;;;;;;;;;;;
where;где;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
here;здесь;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
there;там;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
somewhere;где-нибудь;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
anywhere;где-нибудь;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
everywhere;везде ;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
nowhere;нигде;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
inside;внутри;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
outside;снаружи;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
beside;рядом ;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
above;наверху;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
below;внизу;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
in front of;впереди;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
ahead;впереди / вперед;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
behind;сзади ;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
high;высоко;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
low;низко;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
far;далеко;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
near;близко;;adverb;Места;;;;;;;;;;;;;;;;;;;;;
back, backwards ;назад;;adverb;Направления;;;;;;;;;;;;;;;;;;;;;
ahead, towards;вперед;;adverb;Направления;;;;;;;;;;;;;;;;;;;;;
up;вверх;;adverb;Направления;;;;;;;;;;;;;;;;;;;;;
down;вниз;;adverb;Направления;;;;;;;;;;;;;;;;;;;;;
sideways;в сторону;;adverb;Направления;;;;;;;;;;;;;;;;;;;;;
to the right ;направо;;adverb;Направления;;;;;;;;;;;;;;;;;;;;;
to the left ;налево;;adverb;Направления;;;;;;;;;;;;;;;;;;;;;
around ;вокруг;;adverb;Направления;;;;;;;;;;;;;;;;;;;;;
how;как ;;adverb;Вопросительные;;;;;;;;;;;;;;;;;;;;;
how many;сколько;;adverb;Вопросительные;;;;;;;;;;;;;;;;;;;;;
how much;сколько;;adverb;Вопросительные;;;;;;;;;;;;;;;;;;;;;
where;где;;adverb;Вопросительные;;;;;;;;;;;;;;;;;;;;;
when;когда;;adverb;Вопросительные;;;;;;;;;;;;;;;;;;;;;
why;почему;;adverb;Вопросительные;;;;;;;;;;;;;;;;;;;;;
now;сейчас;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
lately;в последнее время;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
recently;недавно;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
just;только что;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
on the eve;накануне;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
once;однажды ;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
before;раньше;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
long ago;давно ;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
then;тогда;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
afterwards;после;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
immediately;немедленно;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
soon;скоро;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
today;сегодня;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
tonight;сегодня вечером;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
tomorrow;завтра;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
the day after tomorrow;послезавтра;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
yesterday;вчера;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
the day before yesterday;позавчера;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
still;все еще;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
already;уже;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
yet;уже;;adverb;Время;;;;;;;;;;;;;;;;;;;;;
always;всегда;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
often;часто;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
frequently;часто ;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
constantly;постоянно ;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
usually;обычно;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
rarely;редко;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
seldom;редко;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
sometimes;иногда ;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
never;никогда ;;adverb;Повторения и частотности;;;;;;;;;;;;;;;;;;;;;
that’s why;поэтому;;adverb;Наречия для соединения предложений	;;;;;;;;;;;;;;;;;;;;;
however;однако;;adverb;Наречия для соединения предложений	;;;;;;;;;;;;;;;;;;;;;
nevertheless;тем не менее;;adverb;Наречия для соединения предложений	;;;;;;;;;;;;;;;;;;;;;
meanwhile ;тем временем;;adverb;Наречия для соединения предложений	;;;;;;;;;;;;;;;;;;;;;
otherwise;в противном случае;;adverb;Наречия для соединения предложений	;;;;;;;;;;;;;;;;;;;;;
red;красный;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
orange;оранжевый;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
yellow;желтый;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
green;зеленый;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
blue;синий;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
violet;фиолетовый;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
black;черный;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
white;белый;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
brown;коричневый;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
grey;серый;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
dark;темный;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
light;светлый;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
bright;яркий;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
pale;бледный;;adjective;цвета;;;;;;;;;;;;;;;;;;;;;
flat;плоский;;adjective;Форма;;;;;;;;;;;;;;;;;;;;;
straight;прямой;;adjective;Форма;;;;;;;;;;;;;;;;;;;;;
curved;кривой;;adjective;Форма;;;;;;;;;;;;;;;;;;;;;
square;квадратный;;adjective;Форма;;;;;;;;;;;;;;;;;;;;;
oval;овальный;;adjective;Форма;;;;;;;;;;;;;;;;;;;;;
round;круглый;;adjective;Форма;;;;;;;;;;;;;;;;;;;;;
hot;горячий;;adjective;Температура;;;;;;;;;;;;;;;;;;;;;
warm;теплый;;adjective;Температура;;;;;;;;;;;;;;;;;;;;;
cool;прохладный;;adjective;Температура;;;;;;;;;;;;;;;;;;;;;
cold;холодный;;adjective;Температура;;;;;;;;;;;;;;;;;;;;;
good;хороший;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
bad;плохой;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
interesting;интересный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
boring;надоедливый;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
pleasant;приятный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
unpleasant;неприятный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
excellent;отличный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
perfect;совершенный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
abominable;отвратительный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
beautiful;красивый;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
nice;милый;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
attractive;привлекательный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
kind;добрый;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
hostile;враждебный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
gentle/polite;вежливый, воспитанный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
rude;грубый;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
generous;щедрый;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
excited;взволнованный, возбужденный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
frightened/scred;испуганный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
astonished/surpised;удивленный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
angry;сердитый;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
sensitive;чувствительный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
indifferent;безразличный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
hard-hearted;черствый;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
good-hearted;добросердечный;;adjective;Оценка и описание чего-то / кого-то;;;;;;;;;;;;;;;;;;;;;
necessary;необходимый;;adjective;Категории;;;;;;;;;;;;;;;;;;;;;
possible;возможный;;adjective;Категории;;;;;;;;;;;;;;;;;;;;;
desirable;желательный;;adjective;Категории;;;;;;;;;;;;;;;;;;;;;
occasional;случайный ;;adjective;Категории;;;;;;;;;;;;;;;;;;;;;
huge;огромный;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
big/large;большой;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
medium;средний;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
small;маленький;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
long;длинный;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
short;короткий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
wide;широкий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
narrow;узкий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
high/tall;высокий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
low;низкий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
deep;глубокий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
shallow;мелкий (о глубине);;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
thick;толстый;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
thin;тонкий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
far;далекий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
near;близкий;;adjective;Размер;;;;;;;;;;;;;;;;;;;;;
dry;сухой;;adjective;Влажность;;;;;;;;;;;;;;;;;;;;;
wet;мокрый;;adjective;Влажность;;;;;;;;;;;;;;;;;;;;;
humid;влажный;;adjective;Влажность;;;;;;;;;;;;;;;;;;;;;
calm;спокойный;;adjective;Настроение;;;;;;;;;;;;;;;;;;;;;
angry;злой;;adjective;Настроение;;;;;;;;;;;;;;;;;;;;;
sad;печальный;;adjective;Настроение;;;;;;;;;;;;;;;;;;;;;
lonely;одинокий;;adjective;Настроение;;;;;;;;;;;;;;;;;;;;;
happy;счастливый;;adjective;Настроение;;;;;;;;;;;;;;;;;;;;;
talkative;разговорчивый;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
sociable;общительный;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
disobedient;непослушный;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
strict;строгий;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
mild;мягкий;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
reliable;надежный;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
brave;храбрый;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
reasonable;разумный;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
cautious;осторожный;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
clever;умный;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
intelligent;умный, знающий;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
talented;талантливый;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
silly, stupid;глупый, тупой;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
mad;сумасшедший/безумный;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
crazy;сумасшедший / чокнутый;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
diligent;прилежный / усердный;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
lazy;ленивый;;adjective;О человеке;;;;;;;;;;;;;;;;;;;;;
high-quality;качественный;;adjective;Качество;;;;;;;;;;;;;;;;;;;;;
similar;похожий;;adjective;Качество;;;;;;;;;;;;;;;;;;;;;
different;различный;;adjective;Качество;;;;;;;;;;;;;;;;;;;;;
the same;тот же самый;;adjective;Качество;;;;;;;;;;;;;;;;;;;;;
main;главный;;adjective;Качество;;;;;;;;;;;;;;;;;;;;;
important;важный;;adjective;Качество;;;;;;;;;;;;;;;;;;;;;
insignificant;незначительный;;adjective;Качество;;;;;;;;;;;;;;;;;;;;;
tasty;вкусный;;adjective;На вкус;;;;;;;;;;;;;;;;;;;;;
tasteless;безвкусный;;adjective;На вкус;;;;;;;;;;;;;;;;;;;;;
sour;кислый;;adjective;На вкус;;;;;;;;;;;;;;;;;;;;;
salty;соленый;;adjective;На вкус;;;;;;;;;;;;;;;;;;;;;
bitter;горький;;adjective;На вкус;;;;;;;;;;;;;;;;;;;;;
sweet;сладкий;;adjective;На вкус;;;;;;;;;;;;;;;;;;;;;
strong;крепкий;;adjective;На вкус;;;;;;;;;;;;;;;;;;;;;
spicy;острый;;adjective;На вкус;;;;;;;;;;;;;;;;;;;;;
loud;громкий;;adjective;На слух;;;;;;;;;;;;;;;;;;;;;
quiet;тихий;;adjective;На слух;;;;;;;;;;;;;;;;;;;;;
noisy;шумный;;adjective;На слух;;;;;;;;;;;;;;;;;;;;;
sharp;резкий;;adjective;На слух;;;;;;;;;;;;;;;;;;;;;
pleasant;приятный;;adjective;На слух;;;;;;;;;;;;;;;;;;;;;
aromatic;ароматный;;adjective;На запах;;;;;;;;;;;;;;;;;;;;;
specific;специфический;;adjective;На запах;;;;;;;;;;;;;;;;;;;;;
smelly;неприятно пахнущий;;adjective;На запах;;;;;;;;;;;;;;;;;;;;;
short;короткий;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
fast, quick;быстрый;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
slow;медленный;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
early;ранний;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
late;поздний;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
old;старый;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
new;новый;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
young;молодой;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
adult;взрослый;;adjective;Характеристики;;;;;;;;;;;;;;;;;;;;;
correct;правильный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
wrong;неправильный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
absurd;абсурдный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
legal;законный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
illegal;незаконный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
standard;стандартный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
suitable, appropriate ;подходящий;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
acceptable;приемлемый;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
satisfactory;удовлетворительный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
advantageous;выгодный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
disadvantageous;невыгодный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
useful;полезный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
useless;бесполезный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
harmful;вредный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
harmless;безвредный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
cheap;дешевый;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
expensive;дорогой;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
free of charge;бесплатный;;adjective;Соответствие;;;;;;;;;;;;;;;;;;;;;
ancient;древний;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
past;прошлый;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
present;настоящий;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
future;будущий;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
