Word;Part of speech;Translation;example;theme
thousand;noun;ru: тысяча -- ua: тисяча;He won a thousand dollars. + She walked a thousand steps. + There are a thousand people at the concert.;ua: числівники (кількісні) -- ru: числительные (количественные)
one thousand one;noun;ru: тысяча один -- ua: тисяча один;He counted one thousand one sheep. + The book has one thousand one pages. + There are one thousand one students in the school.;ua: числівники (кількісні) -- ru: числительные (количественные)
ten thousand;noun;ru: десять тысяч -- ua: десять тисяч;The stadium holds ten thousand people. + He donated ten thousand dollars. + There are ten thousand stars in the sky.;ua: числівники (кількісні) -- ru: числительные (количественные)
one hundred thousand;noun;ru: сто тысяч -- ua: сто тисяч;The company has one hundred thousand employees. + He won one hundred thousand dollars. + The city has a population of one hundred thousand.;ua: числівники (кількісні) -- ru: числительные (количественные)
million;noun;ru: миллион -- ua: мільйон;There are a million stars in the sky. + He earned a million dollars. + The city has a population of a million people.;ua: числівники (кількісні) -- ru: числительные (количественные)
billion;noun;ru: миллиард -- ua: мільярд;The world’s population is over seven billion. + The company is worth a billion dollars. + There are billions of stars in the universe.;ua: числівники (кількісні) -- ru: числительные (количественные)
one-half;noun;ru: одна вторая (половина) -- ua: одна друга (половина);He ate one-half of the cake. + One-half of the class was absent. + She drank one-half of the bottle.;ua: числівники (кількісні) -- ru: числительные (количественные)
one-third;noun;ru: одна треть -- ua: одна третина;One-third of the students passed the exam. + She ate one-third of the pizza. + The glass is one-third full.;ua: числівники (кількісні) -- ru: числительные (количественные)
one-fourth;noun;ru: одна четвертая -- ua: одна четверта;He completed one-fourth of the project. + The cake was cut into one-fourth pieces. + She drank one-fourth of the juice.;ua: числівники (кількісні) -- ru: числительные (количественные)
three-fourths;noun;ru: три четверти -- ua: три четверті;Three-fourths of the work is done. + He drank three-fourths of the bottle. + The glass is three-fourths full.;ua: числівники (кількісні) -- ru: числительные (количественные)
whole;adjective;ru: целый -- ua: цілий;He ate the whole cake. + The whole class attended the event. + I read the whole book in one day.;ua: числівники (кількісні) -- ru: числительные (количественные)
afternoon;noun;ru: день, послеобеденное время -- ua: день, післяобідній час;We met in the afternoon. + The afternoon sun was very bright. + I usually take a nap in the afternoon.;ua: час -- ru: время
anniversary;noun;ru: годовщина, юбилей -- ua: річниця, ювілей;Today is our wedding anniversary. + They celebrated their anniversary with a party. + The company’s anniversary is next month.;ua: час -- ru: время
birthday;noun;ru: день рождения -- ua: день народження;Her birthday is in July. + We threw a big party for his birthday. + I got a lot of presents on my birthday.;ua: час -- ru: время
date;noun;ru: дата, свидание -- ua: дата, побачення;What’s today’s date? + Our first date was amazing. + The exam date has been changed.;ua: час -- ru: время
day;noun;ru: день -- ua: день;The day was sunny and warm. + She works every day. + There are 24 hours in a day.;ua: час -- ru: время
day before yesterday;noun;ru: позавчера -- ua: позавчора;I saw him the day before yesterday. + It rained the day before yesterday. + The package arrived the day before yesterday.;ua: час -- ru: время
evening;noun;ru: вечер -- ua: вечір;We went for a walk in the evening. + The evening sky was beautiful. + She studies in the evening.;ua: час -- ru: время
every day;adverb;ru: каждый день -- ua: кожен день;I go to the gym every day. + She calls her parents every day. + We have breakfast together every day.;ua: час -- ru: время
hour;noun;ru: час -- ua: година;The movie lasted two hours. + She waited for an hour. + There are 60 minutes in an hour.;ua: час -- ru: время
last week;noun;ru: на прошлой неделе -- ua: минулого тижня;I met him last week. + We traveled to Spain last week. + The weather was cold last week.;ua: час -- ru: время
late;adjective/adverb;ru: поздний, поздно -- ua: пізній, пізно;He arrived late to work. + It’s too late to change the plan. + We had a late dinner.;ua: час -- ru: время
legal holiday;noun;ru: официальный праздник -- ua: офіційне свято;New Year’s Day is a legal holiday. + The bank is closed on legal holidays. + We don’t work on legal holidays.;ua: час -- ru: время
midnight;noun;ru: полночь -- ua: північ;The train arrives at midnight. + She went to bed at midnight. + We celebrated the New Year at midnight.;ua: час -- ru: время
minute;noun;ru: минута -- ua: хвилина;The bus will arrive in five minutes. + A minute has 60 seconds. + Wait a minute, I’ll be right back.;ua: час -- ru: время
month;noun;ru: месяц -- ua: місяць;There are 12 months in a year. + I’ll be on vacation for a month. + She was born in the month of May.;ua: час -- ru: время
morning;noun;ru: утро -- ua: ранок;I love drinking coffee in the morning. + He goes for a run every morning. + The morning air was fresh and cool.;ua: час -- ru: время
next week;noun;ru: на следующей неделе -- ua: наступного тижня;We are going on vacation next week. + The meeting is scheduled for next week. + She will start a new job next week.;ua: час -- ru: время
night;noun;ru: ночь -- ua: ніч;The city looks beautiful at night. + He works at night. + We stayed up all night watching movies.;ua: час -- ru: время
noon;noun;ru: полдень -- ua: південь;The sun is highest at noon. + We had lunch at noon. + The store opens at noon.;ua: час -- ru: время
once a week;adverb;ru: раз в неделю -- ua: раз на тиждень;I go swimming once a week. + We meet once a week for coffee. + The garbage is collected once a week.;ua: час -- ru: время
religious holiday;noun;ru: религиозный праздник -- ua: релігійне свято;Christmas is a religious holiday. + Many religious holidays are celebrated worldwide. + They observe every religious holiday.;ua: час -- ru: время
second;noun;ru: секунда -- ua: секунда;There are 60 seconds in a minute. + Wait a second, I’ll be there soon. + He finished the race in second place.;ua: час -- ru: время
this week;noun;ru: на этой неделе -- ua: цього тижня;We have a lot of work this week. + The weather will be nice this week. + She is traveling this week.;ua: час -- ru: время
three times a week;adverb;ru: три раза в неделю -- ua: три рази на тиждень;I exercise three times a week. + He visits his parents three times a week. + The bus runs three times a week.;ua: час -- ru: время
today;noun/adverb;ru: сегодня -- ua: сьогодні;I have a meeting today. + The weather is great today. + She is feeling better today.;ua: час -- ru: время
tomorrow;noun/adverb;ru: завтра -- ua: завтра;We will meet tomorrow. + Tomorrow is my birthday. + She will travel tomorrow.;ua: час -- ru: время
twice a week;adverb;ru: два раза в неделю -- ua: два рази на тиждень;I go to the gym twice a week. + He sees his doctor twice a week. + The class meets twice a week.;ua: час -- ru: время
vacation;noun;ru: отпуск, каникулы -- ua: відпустка, канікули;We are going on vacation next month. + The school is closed for vacation. + She enjoyed her summer vacation.;ua: час -- ru: время
week;noun;ru: неделя -- ua: тиждень;There are seven days in a week. + I’ll see you next week. + He worked hard all week.;ua: час -- ru: время
weekday;noun;ru: будний день -- ua: будній день;Monday is a weekday. + The office is open on weekdays. + I work only on weekdays.;ua: час -- ru: время
weekend;noun;ru: выходные -- ua: вихідні;I love relaxing on the weekend. + We went to the beach last weekend. + The store is closed on weekends.;ua: час -- ru: время
year;noun;ru: год -- ua: рік;There are 12 months in a year. + He was born last year. + She has been studying for a year.;ua: час -- ru: время
yesterday;noun/adverb;ru: вчера -- ua: вчора;I saw her yesterday. + Yesterday was a busy day. + He arrived yesterday morning.;ua: час -- ru: время
now;adverb;ru: сейчас -- ua: зараз;I am busy now. + She is talking on the phone now. + Now is the best time to start.;ua: час -- ru: время
later;adverb;ru: позже -- ua: пізніше;I will call you later. + Let's discuss this later. + She arrived later than expected.;ua: час -- ru: время
early;adjective/adverb;ru: ранний, рано -- ua: ранній, рано;He wakes up early every day. + We caught the early train. + It's too early to leave.;ua: час -- ru: время
aerial photography;noun;ru: аэрофотосъёмка -- ua: аерофотозйомка;Aerial photography is useful for mapping. + They used aerial photography to study the landscape. + The drone captured amazing aerial photography.;ua: фото -- ru: фото
aperture;noun;ru: диафрагма (фото) -- ua: діафрагма (фото);A wide aperture lets in more light. + Adjust the aperture for a sharper image. + The lens has a maximum aperture of f/2.8.;ua: фото -- ru: фото
black-and-white;adjective;ru: черно-белый -- ua: чорно-білий;I love black-and-white photography. + The old movie was in black-and-white. + Black-and-white photos have a classic look.;ua: фото -- ru: фото
blurry;adjective;ru: размытый -- ua: розмитий;The photo is blurry because of the camera shake. + My vision is blurry without glasses. + The low-light conditions made the image blurry.;ua: фото -- ru: фото
cover shoot;noun;ru: обложочная фотосессия -- ua: фотосесія для обкладинки;The magazine planned a cover shoot with a famous actress. + The photographer prepared for the cover shoot. + The cover shoot took place in a studio.;ua: фото -- ru: фото
to crop;verb;ru: обрезать (фото) -- ua: обрізати (фото);I need to crop this image to fit the frame. + He cropped the photo to remove unwanted parts. + The software allows you to crop images easily.;ua: фото -- ru: фото
to develop a photo;verb;ru: проявлять фото -- ua: проявляти фото;They developed the photo in a darkroom. + I learned how to develop a photo in college. + The old camera used film that needed to be developed.;ua: фото -- ru: фото
digital;adjective;ru: цифровой -- ua: цифровий;Digital cameras are popular today. + The photos were stored in digital format. + I prefer digital photography over film.;ua: фото -- ru: фото
exposure;noun;ru: выдержка, экспозиция -- ua: витримка, експозиція;Proper exposure is key to a good photo. + The camera adjusts the exposure automatically. + Overexposure can make the image too bright.;ua: фото -- ru: фото
filter;noun;ru: фильтр -- ua: фільтр;I used a sepia filter on the photo. + The lens has a UV filter. + Social media apps offer many filters for photos.;ua: фото -- ru: фото
to frame;verb;ru: кадрировать -- ua: кадрувати;He framed the subject in the center. + The photographer carefully framed the shot. + Good framing makes a photo more interesting.;ua: фото -- ru: фото
landscape;noun;ru: пейзаж -- ua: пейзаж;I enjoy landscape photography. + The painting depicts a beautiful landscape. + We took many landscape photos on our trip.;ua: фото -- ru: фото
macro photography;noun;ru: макросъемка -- ua: макрозйомка;Macro photography is great for capturing details. + He used a special lens for macro photography. + Macro photography reveals textures invisible to the naked eye.;ua: фото -- ru: фото
photo;noun;ru: фото -- ua: фото;This is my favorite photo. + I took a photo of the sunset. + She posted a new photo online.;ua: фото -- ru: фото
photo shoot;noun;ru: фотосессия -- ua: фотосесія;The model had a photo shoot in Paris. + We planned a wedding photo shoot. + The studio was ready for the photo shoot.;ua: фото -- ru: фото
point-and-shoot camera;noun;ru: компактная камера -- ua: компактна камера;A point-and-shoot camera is easy to use. + He bought a new point-and-shoot camera. + Point-and-shoot cameras are great for beginners.;ua: фото -- ru: фото
portraiture;noun;ru: портретная съемка -- ua: портретна зйомка;Portraiture requires good lighting. + He specializes in portraiture. + Portraiture captures the personality of a subject.;ua: фото -- ru: фото
processing;noun;ru: обработка (фото) -- ua: обробка (фото);Digital processing improves image quality. + The photographer spent hours on processing. + The software offers advanced photo processing tools.;ua: фото -- ru: фото
shutter speed;noun;ru: скорость затвора -- ua: швидкість затвора;A fast shutter speed freezes motion. + Adjust the shutter speed for better night shots. + Slow shutter speed creates motion blur.;ua: фото -- ru: фото
SLR camera;noun;ru: зеркальная камера -- ua: дзеркальна камера;He bought an SLR camera for professional photography. + SLR cameras allow manual settings. + The photographer used an SLR camera for the shoot.;ua: фото -- ru: фото
to take a photo;verb;ru: сделать фото -- ua: зробити фото;I took a photo of the sunset. + He asked me to take a photo of him. + She took a photo with her new camera.;ua: фото -- ru: фото
time-lapse photography;noun;ru: таймлапс съемка -- ua: таймлапс зйомка;Time-lapse photography captures slow changes. + He used time-lapse photography to record the sunrise. + The documentary used time-lapse photography of a growing plant.;ua: фото -- ru: фото
to trim;verb;ru: подрезать (фото) -- ua: підрізати (фото);He trimmed the edges of the image. + The software lets you trim unnecessary parts. + Trim the picture to fit the frame.;ua: фото -- ru: фото
tripod;noun;ru: штатив -- ua: штатив;A tripod keeps the camera steady. + He set up a tripod for long exposure shots. + A tripod is useful for shooting videos.;ua: фото -- ru: фото
viewfinder;noun;ru: видоискатель -- ua: видошукач;He looked through the viewfinder to compose the shot. + The camera has an electronic viewfinder. + The viewfinder helps with accurate framing.;ua: фото -- ru: фото
to back away;verb;ru: отступать, пятиться -- ua: відступати, задкувати;He backed away from the dog. + She backed away in fear. + The crowd backed away as the fire grew.;ua: фразові дієслова -- ru: фразовые глаголы
to back off;verb;ru: отступить, отвалить, прекратить -- ua: відступити, відчепитися, припинити;Back off! I don’t want to argue. + The boss told him to back off and stop pressuring the team. + He backed off when he saw the knife.;ua: фразові дієслова -- ru: фразовые глаголы
to bail out;verb;ru: выручать, покинуть, спасать -- ua: виручати, залишати, рятувати;He bailed out of the project at the last minute. + The government bailed out the failing bank. + I can't believe you bailed out on me!;ua: фразові дієслова -- ru: фразовые глаголы
to be back;verb;ru: вернуться -- ua: повернутися;I'll be back in five minutes. + She's finally back from vacation. + The show will be back next season.;ua: фразові дієслова -- ru: фразовые глаголы
to be off;verb;ru: уходить, отправляться, отменяться -- ua: йти, вирушати, скасовуватися;I'm off to work now. + The meeting is off due to bad weather. + She was off to Paris for the weekend.;ua: фразові дієслова -- ru: фразовые глаголы
to be out;verb;ru: отсутствовать, быть не в моде, погаснуть (о свете) -- ua: бути відсутнім, вийти з моди, згаснути (про світло);She is out at the moment. + Bell-bottom jeans are out of fashion. + The fire is out.;ua: фразові дієслова -- ru: фразовые глаголы
to be over;verb;ru: закончиться, пройти -- ua: закінчитися, минути;The game is over. + The hard times are finally over. + Is the meeting over yet?;ua: фразові дієслова -- ru: фразовые глаголы
to be up;verb;ru: проснуться, закончиться, подняться -- ua: прокинутися, закінчитися, піднятися;I'm up early today. + Time's up! Hand in your papers. + The prices are up again.;ua: фразові дієслова -- ru: фразовые глаголы
to be up to;verb;ru: задумать, замышлять, зависеть от -- ua: задумати, замислювати, залежати від;What are you up to? + It's up to you to decide. + The kids are up to something.;ua: фразові дієслова -- ru: фразовые глаголы
to blow out;verb;ru: задуть, разбить, погасить -- ua: задути, розбити, погасити;He blew out the candles on the cake. + The wind blew out the fire. + The tire blew out on the highway.;ua: фразові дієслова -- ru: фразовые глаголы
to blow up;verb;ru: взорваться, разозлиться, надуть -- ua: вибухнути, розлютитися, надути;The bomb blew up. + He blew up when he heard the news. + They blew up balloons for the party.;ua: фразові дієслова -- ru: фразовые глаголы
to break down;verb;ru: сломаться, потерять самообладание, разрушиться -- ua: зламатися, втратити самовладання, розвалитися;My car broke down on the way home. + She broke down in tears. + The negotiations broke down.;ua: фразові дієслова -- ru: фразовые глаголы
to break in;verb;ru: вломиться, разносить (обувь), вмешаться в разговор -- ua: вломитися, розношувати (взуття), втручатися в розмову;Someone tried to break in last night. + I need to break in my new shoes. + He broke in to add his opinion.;ua: фразові дієслова -- ru: фразовые глаголы
to break into;verb;ru: вломиться, внезапно начать -- ua: вломитися, раптово почати;Thieves broke into the house. + She broke into laughter. + He broke into a run.;ua: фразові дієслова -- ru: фразовые глаголы
to break off;verb;ru: прервать, разорвать отношения, отломить -- ua: перервати, розірвати стосунки, відламати;They broke off their engagement. + She broke off a piece of chocolate. + He suddenly broke off in the middle of his speech.;ua: фразові дієслова -- ru: фразовые глаголы
to break out;verb;ru: вспыхнуть, сбежать, покрыться (прыщами, потом) -- ua: спалахнути, втекти, покритися (прищами, потом);A fire broke out in the kitchen. + The prisoners broke out of jail. + He broke out in a rash.;ua: фразові дієслова -- ru: фразовые глаголы
to break up;verb;ru: расстаться, развалиться, разогнать -- ua: розійтися, розвалитися, розігнати;They broke up last year. + The plane broke up in midair. + The police broke up the protest.;ua: фразові дієслова -- ru: фразовые глаголы
to burst out;verb;ru: разразиться (смехом, криком), вырваться -- ua: вибухнути (сміхом, криком), вирватися;She burst out laughing. + He burst out crying. + They burst out of the room.;ua: фразові дієслова -- ru: фразовые глаголы
to call back;verb;ru: перезвонить, позвать назад -- ua: передзвонити, покликати назад;I'll call you back later. + She called back the dog. + He forgot to call back his client.;ua: фразові дієслова -- ru: фразовые глаголы
to calm down;verb;ru: успокоиться, остудить -- ua: заспокоїтися, остудити;Calm down, everything is fine. + He tried to calm her down. + The storm calmed down by evening.;ua: фразові дієслова -- ru: фразовые глаголы
to carry on;verb;ru: продолжать -- ua: продовжувати;She carried on working despite the noise. + Carry on with your story. + He carried on talking for hours.;ua: фразові дієслова -- ru: фразовые глаголы
to carry out;verb;ru: выполнять, осуществлять -- ua: виконувати, здійснювати;The scientist carried out an experiment. + He carried out his plan successfully. + Orders must be carried out without question.;ua: фразові дієслова -- ru: фразовые глаголы
to cash in;verb;ru: обналичить, нажиться -- ua: обналювати, нажитися;He cashed in his savings. + They cashed in on the new trend. + She cashed in her chips at the casino.;ua: фразові дієслова -- ru: фразовые глаголы
to catch up;verb;ru: догнать, наверстать -- ua: наздогнати, надолужити;I need to catch up on my sleep. + He ran to catch up with his friend. + She caught up on the latest news.;ua: фразові дієслова -- ru: фразовые глаголы
to check in;verb;ru: зарегистрироваться (в отеле, аэропорту) -- ua: зареєструватися (в готелі, аеропорту);We checked in at the hotel at noon. + Please check in at least two hours before the flight. + He checked in at the front desk.;ua: фразові дієслова -- ru: фразовые глаголы
to check out;verb;ru: выписаться, проверить -- ua: виписатися, перевірити;She checked out of the hotel. + Check out this new book! + He checked out the rumors.;ua: фразові дієслова -- ru: фразовые глаголы
to clean up;verb;ru: убирать, приводить в порядок -- ua: прибирати, наводити порядок;They cleaned up the house before guests arrived. + The company needs to clean up its image. + He cleaned up after the party.;ua: фразові дієслова -- ru: фразовые глаголы
to close down;verb;ru: закрыться (навсегда) -- ua: закритися (назавжди);The factory closed down last year. + The shop closed down due to low sales. + Many small businesses are closing down.;ua: фразові дієслова -- ru: фразовые глаголы
to come across;verb;ru: наткнуться, случайно встретить -- ua: натрапити, випадково зустріти;I came across an old photo. + She came across as very confident. + He came across a rare book.;ua: фразові дієслова -- ru: фразовые глаголы
to come along;verb;ru: идти вместе, появляться -- ua: йти разом, з’являтися;Come along with us to the party! + A new opportunity came along. + The project is coming along well.;ua: фразові дієслова -- ru: фразовые глаголы
to come back;verb;ru: возвращаться -- ua: повертатися;He came back home late. + The memories came back to her. + I'll come back next week.;ua: фразові дієслова -- ru: фразовые глаголы
to come by;verb;ru: зайти, получить случайно -- ua: зайти, отримати випадково;She came by my house yesterday. + Good jobs are hard to come by. + He came by some old coins.;ua: фразові дієслова -- ru: фразовые глаголы
to come down;verb;ru: спуститься, снизиться, рухнуть -- ua: спуститися, знизитися, впасти;The price of gas has come down. + The rain is really coming down. + The old building came down.;ua: фразові дієслова -- ru: фразовые глаголы
to come forward;verb;ru: выйти вперед, предложить помощь -- ua: вийти вперед, запропонувати допомогу;The witness came forward with new evidence. + No one came forward to claim the prize. + He came forward to help.;ua: фразові дієслова -- ru: фразовые глаголы
to come from;verb;ru: происходить из, быть родом из -- ua: походити з, бути родом з;She comes from Spain. + The noise is coming from the kitchen. + He comes from a rich family.;ua: фразові дієслова -- ru: фразовые глаголы
to come in;verb;ru: входить, приходить, становиться модным -- ua: входити, приходити, ставати модним;Come in and take a seat. + The new fashion trend is coming in. + News just came in about the accident.;ua: фразові дієслова -- ru: фразовые глаголы
to come off;verb;ru: отвалиться, удаваться -- ua: відпасти, вдатися;The handle came off the door. + His plan came off perfectly. + The paint is coming off the walls.;ua: фразові дієслова -- ru: фразовые глаголы
to come out;verb;ru: выходить, становиться известным -- ua: виходити, ставати відомим;The sun came out after the rain. + The truth finally came out. + His new book comes out next month.;ua: фразові дієслова -- ru: фразовые глаголы
to come over;verb;ru: зайти в гости, нахлынуть -- ua: зайти в гості, нахлинути;Come over for dinner. + A wave of sadness came over her. + He came over to say hello.;ua: фразові дієслова -- ru: фразовые глаголы
to come up with;verb;ru: придумать, предложить -- ua: придумати, запропонувати;He came up with a great idea. + She came up with a solution. + We need to come up with a plan.;ua: фразові дієслова -- ru: фразовые глаголы
to count on;verb;ru: рассчитывать на -- ua: розраховувати на;You can count on me. + He counted on his friends for support. + I wouldn’t count on good weather.;ua: фразові дієслова -- ru: фразовые глаголы
to cut off;verb;ru: отрезать, прервать -- ua: відрізати, перервати;The storm cut off electricity. + He cut me off while I was speaking. + The village was cut off by the snow.;ua: фразові дієслова -- ru: фразовые глаголы
to dress up;verb;ru: наряжаться, одеваться формально -- ua: наряджатися, вдягатися офіційно;She dressed up for the party. + He likes to dress up for work. + You don’t have to dress up, it's a casual event.;ua: фразові дієслова -- ru: фразовые глаголы
to drum up;verb;ru: привлекать, добывать (клиентов, поддержку) -- ua: залучати, добувати (клієнтів, підтримку);They are trying to drum up support. + He drummed up new business for the company. + The politician drummed up votes before the election.;ua: фразові дієслова -- ru: фразовые глаголы
to eat out;verb;ru: питаться вне дома -- ua: харчуватися не вдома;We decided to eat out tonight. + They eat out at restaurants every weekend. + I don't feel like cooking, let’s eat out.;ua: фразові дієслова -- ru: фразовые глаголы
to end up;verb;ru: оказаться, в конечном итоге -- ua: опинитися, врешті-решт;He ended up in jail. + We ended up staying longer than planned. + She ended up buying the red dress.;ua: фразові дієслова -- ru: фразовые глаголы
to fall down;verb;ru: упасть -- ua: впасти;He fell down the stairs. + The old house is falling down. + She fell down while running.;ua: фразові дієслова -- ru: фразовые глаголы
to fall through;verb;ru: провалиться, не состояться -- ua: провалитися, не відбутися;Our plans fell through. + The deal fell through at the last moment. + His business idea fell through due to lack of funding.;ua: фразові дієслова -- ru: фразовые глаголы
to figure out;verb;ru: разобраться, выяснить -- ua: розібратися, з’ясувати;I can’t figure out this problem. + He finally figured out the answer. + She figured out how to fix it.;ua: фразові дієслова -- ru: фразовые глаголы
to find out;verb;ru: узнать, выяснить -- ua: дізнатися, з’ясувати;I found out the truth. + She found out that he was lying. + We need to find out more information.;ua: фразові дієслова -- ru: фразовые глаголы
to freak out;verb;ru: паниковать, выходить из себя -- ua: панікувати, виходити з себе;She freaked out when she saw the spider. + Don’t freak out, everything is fine. + He freaked out over the bad news.;ua: фразові дієслова -- ru: фразовые глаголы
to get ahead;verb;ru: продвигаться вперед, преуспеть -- ua: просуватися вперед, досягати успіху;He worked hard to get ahead. + You need a plan to get ahead in business. + She got ahead by taking extra courses.;ua: фразові дієслова -- ru: фразовые глаголы
to get along;verb;ru: ладить -- ua: ладнати;They get along very well. + I don’t get along with my boss. + He tries to get along with everyone.;ua: фразові дієслова -- ru: фразовые глаголы
to get around;verb;ru: передвигаться, обойти (проблему) -- ua: пересуватися, обійти (проблему);It’s easy to get around the city by bike. + He found a way to get around the rules. + She gets around a lot for work.;ua: фразові дієслова -- ru: фразовые глаголы
to get away;verb;ru: сбежать, ускользнуть -- ua: втекти, вислизнути;The thief got away. + We need to get away for the weekend. + He got away with lying.;ua: фразові дієслова -- ru: фразовые глаголы
to get back;verb;ru: вернуться -- ua: повернутися;I’ll get back home by 6 PM. + He got back from his trip. + When will you get back to work?;ua: фразові дієслова -- ru: фразовые глаголы
to get down;verb;ru: спуститься, расстроить -- ua: спуститися, засмутити;Get down from the tree! + The bad weather is getting me down. + He got down to work immediately.;ua: фразові дієслова -- ru: фразовые глаголы
to get in;verb;ru: войти, попасть внутрь -- ua: увійти, потрапити всередину;She got in the car. + What time does your flight get in? + He got in through the window.;ua: фразові дієслова -- ru: фразовые глаголы
to get off;verb;ru: выйти (из транспорта), отделаться -- ua: вийти (з транспорту), відбутися;We need to get off at the next stop. + He got off with just a warning. + She got off the bus quickly.;ua: фразові дієслова -- ru: фразовые глаголы
to get on;verb;ru: сесть (в транспорт), справляться -- ua: сісти (в транспорт), справлятися;He got on the train. + How are you getting on at work? + She got on her bike and rode away.;ua: фразові дієслова -- ru: фразовые глаголы
to get on nerves;verb;ru: раздражать, действовать на нервы -- ua: дратувати, діяти на нерви;His loud chewing gets on my nerves. + Stop humming, it's getting on my nerves. + The traffic noise gets on my nerves every morning.;ua: фразові дієслова -- ru: фразовые глаголы
to get out;verb;ru: выйти, выбраться -- ua: вийти, вибратися;Get out of my room! + He got out of the car. + We need to get out of here fast.;ua: фразові дієслова -- ru: фразовые глаголы
to get over;verb;ru: пережить, справиться -- ua: пережити, впоратися;She finally got over her illness. + It took him months to get over the breakup. + You’ll get over this disappointment.;ua: фразові дієслова -- ru: фразовые глаголы
to get through;verb;ru: пройти через что-то, дозвониться -- ua: пройти через щось, додзвонитися;We got through the storm safely. + I can’t get through to him, his phone is off. + She got through the hardest part of the exam.;ua: фразові дієслова -- ru: фразовые глаголы
to get to somebody;verb;ru: задевать, действовать на кого-то -- ua: зачіпати, діяти на когось;His rude comments really got to me. + Don’t let criticism get to you. + The long working hours are getting to him.;ua: фразові дієслова -- ru: фразовые глаголы
to get up;verb;ru: вставать, подниматься -- ua: вставати, підійматися;I get up at 7 AM every day. + He got up and left the room. + The audience got up to applaud.;ua: фразові дієслова -- ru: фразовые глаголы
to give up;verb;ru: сдаваться, прекращать -- ua: здаватися, припиняти;Never give up on your dreams. + He gave up smoking. + She gave up after several failed attempts.;ua: фразові дієслова -- ru: фразовые глаголы
to go along;verb;ru: соглашаться, сопровождать -- ua: погоджуватися, супроводжувати;He decided to go along with their plan. + I’ll go along with you to the store. + She just went along with the decision.;ua: фразові дієслова -- ru: фразовые глаголы
to go around;verb;ru: обходить, распространяться -- ua: обходити, поширюватися;There’s a flu going around. + He went around asking for help. + There wasn’t enough food to go around.;ua: фразові дієслова -- ru: фразовые глаголы
to go away;verb;ru: уходить, исчезать -- ua: йти, зникати;The pain will go away soon. + Go away, I need some space! + They went away for the weekend.;ua: фразові дієслова -- ru: фразовые глаголы
to go back;verb;ru: возвращаться -- ua: повертатися;I want to go back to my hometown. + He went back to his old job. + Let’s go back inside, it’s cold.;ua: фразові дієслова -- ru: фразовые глаголы
to go by;verb;ru: проходить (о времени), проезжать мимо -- ua: проходити (про час), проїжджати повз;The years go by so fast. + A red car just went by. + Time goes by quickly when you're busy.;ua: фразові дієслова -- ru: фразовые глаголы
to go down;verb;ru: снижаться, опускаться -- ua: знижуватися, опускатися;The temperature is going down. + The stock prices went down. + The sun is going down.;ua: фразові дієслова -- ru: фразовые глаголы
to go in;verb;ru: входить -- ua: входити;He went in without knocking. + Let’s go in and have a drink. + She went in to see the doctor.;ua: фразові дієслова -- ru: фразовые глаголы
to go off;verb;ru: сработать (о сигнале, бомбе), испортиться (о еде) -- ua: спрацювати (про сигнал, бомбу), зіпсуватися (про їжу);The alarm went off at midnight. + The bomb went off suddenly. + The milk went off, don’t drink it.;ua: фразові дієслова -- ru: фразовые глаголы
to go on;verb;ru: продолжаться, происходить -- ua: продовжуватися, відбуватися;The show must go on. + What’s going on here? + He went on talking despite the noise.;ua: фразові дієслова -- ru: фразовые глаголы
to go out;verb;ru: выходить (из дома, на улицу), гаснуть -- ua: виходити (з дому, на вулицю), гаснути;They went out for dinner. + The fire went out. + I usually go out on Fridays.;ua: фразові дієслова -- ru: фразовые глаголы
to go over;verb;ru: просматривать, повторять -- ua: переглядати, повторювати;Let’s go over your homework. + She went over the details again. + He went over his speech before the meeting.;ua: фразові дієслова -- ru: фразовые глаголы
to go through;verb;ru: пройти через что-то, пережить -- ua: пройти через щось, пережити;He went through a tough time. + She went through the documents carefully. + I can’t believe what you went through.;ua: фразові дієслова -- ru: фразовые глаголы
to go up;verb;ru: подниматься, увеличиваться -- ua: підніматися, збільшуватися;The price of gas has gone up. + The elevator went up to the top floor. + His salary went up last year.;ua: фразові дієслова -- ru: фразовые глаголы
to grow up;verb;ru: расти, взрослеть -- ua: рости, дорослішати;I grew up in a small town. + Kids grow up so fast. + He wants to be a doctor when he grows up.;ua: фразові дієслова -- ru: фразовые глаголы
to hang around;verb;ru: слоняться, болтаться без дела -- ua: байдикувати, тинятися без діла;They hang around the mall all day. + Stop hanging around and do something useful! + I don’t like hanging around in crowded places.;ua: фразові дієслова -- ru: фразовые глаголы
to hang on;verb;ru: держаться, подождать -- ua: триматися, зачекати;Hang on! I’m coming. + Hang on to the rope tightly. + Can you hang on a second?;ua: фразові дієслова -- ru: фразовые глаголы
to hang out;verb;ru: тусоваться, проводить время -- ua: тусуватися, проводити час;We often hang out at the café. + He hangs out with his friends every weekend. + Do you want to hang out later?;ua: фразові дієслова -- ru: фразовые глаголы
to hang up;verb;ru: повесить трубку, повесить что-то -- ua: покласти слухавку, повісити щось;He hung up the phone angrily. + Hang up your coat. + She hung up before I could say goodbye.;ua: фразові дієслова -- ru: фразовые глаголы
to help out;verb;ru: выручить, помочь -- ua: виручити, допомогти;Can you help out with the dishes? + He helped out at the charity event. + She always helps out her friends.;ua: фразові дієслова -- ru: фразовые глаголы
